id,data,cidade_id,local,bairro,via,numero,latitude,longitude,natureza_id,hora,periodo
70,2015-10-12,1,"Jardim Terra Rica, Rua Ribeirão Preto, 66",Jardim Terra Rica,Rua Ribeirão Preto,66,-11.8795645,-55.493649000000005,3,07:00:00,06:00 - 11:59
71,2015-10-15,1,"Jardim Jacarandás, Avenida das Sibipirunas",Jardim Jacarandás,Avenida das Sibipirunas,,-11.8795933,-55.50790319999999,6,07:00:00,06:00 - 11:59
72,2015-10-19,1,"Jardim Imperial, Avenida das Palmeiras, 2334",Jardim Imperial,Avenida das Palmeiras,2334,-11.8440783,-55.51616999999999,3,07:00:00,06:00 - 11:59
73,2015-10-24,1,"Centro, Avenida dos Jacarandás",Centro,Avenida dos Jacarandás,,-11.8880467,-55.505763900000034,3,07:50:00,06:00 - 11:59
74,2015-10-04,1,"Jardim Jacarandás, Rua dos Abacateiros, 357",Jardim Jacarandás,Rua dos Abacateiros,357,-11.8771394,-55.506441300000006,3,08:00:00,06:00 - 11:59
75,2015-10-26,1,"Jardim Imperial, Avenida dos Jequitibás, 2795",Jardim Imperial,Avenida dos Jequitibás,2795,-11.8370006,-55.515900999999985,3,08:00:00,06:00 - 11:59
76,2015-10-24,1,"Jardim Imperial, Avenida André Maggi",Jardim Imperial,Avenida André Maggi,,-11.8406742,-55.51959320000003,6,08:00:00,06:00 - 11:59
77,2015-10-01,1,"Centro, Avenida dos Jacarandás",Centro,Avenida dos Jacarandás,,-11.8880467,-55.505763900000034,7,08:15:00,06:00 - 11:59
78,2015-10-10,1,"Centro, Avenida Governador Júlio Campos",Centro,Avenida Governador Júlio Campos,,-11.8559949,-55.5040242,3,08:30:00,06:00 - 11:59
79,2015-10-21,1,"Centro, Avenida Governador Júlio Campos",Centro,Avenida Governador Júlio Campos,,-11.8559949,-55.5040242,3,08:30:00,06:00 - 11:59
80,2015-10-25,1,"Centro, Avenida Governador Júlio Campos",Centro,Avenida Governador Júlio Campos,,-11.8559949,-55.5040242,3,08:40:00,06:00 - 11:59
81,2015-10-01,1,"Setor Industrial Sul, Rua Colonizador Ênio Pipino, 2333",Setor Industrial Sul,Rua Colonizador Ênio Pipino,2333,-11.8317586,-55.48801359999999,3,09:00:00,06:00 - 11:59
82,2015-10-12,1,"Cidade Jardim, Avenida Alexandre Ferronato",Cidade Jardim,Avenida Alexandre Ferronato,,-11.861312,-55.483466799999974,3,09:00:00,06:00 - 11:59
84,2015-10-27,1,"Jardim Umuarama 1, José Gonsalves",Jardim Umuarama 1,José Gonsalves,,-11.9224619,-55.51091859999997,6,09:00:00,06:00 - 11:59
85,2015-10-27,1,"Sebastião de Matos 2, Rua 5",Sebastião de Matos 2,Rua 5,,-11.9280826,-55.50751279999997,6,09:00:00,06:00 - 11:59
86,2015-10-27,1,"Zona Rural, Rua Rua, 880",Zona Rural,Rua Rua,880,,,3,09:00:00,06:00 - 11:59
87,2015-10-01,1,"Jardim Imperial, Avenida dos Ipês, 601",Jardim Imperial,Avenida dos Ipês,601,-11.8399922,-55.51499150000001,6,09:10:00,06:00 - 11:59
88,2015-10-20,1,"Residencial Gente Feliz, Avenida da Integração, 42A",Residencial Gente Feliz,Avenida da Integração,42A,-11.8379336,-55.480634099999975,3,09:30:00,06:00 - 11:59
89,2015-10-21,1,"Jardim das Violetas, Rua das Violetas, 00000",Jardim das Violetas,Rua das Violetas,00000,-11.8527134,-55.51277140000002,6,09:37:00,06:00 - 11:59
90,2015-10-24,1,"Setor Industrial, Rua João Pedro Moreira de Carvalho, 4240",Setor Industrial,Rua João Pedro Moreira de Carvalho,4240,-11.8416418,-55.48975619999999,3,09:45:00,06:00 - 11:59
91,2015-10-03,1,"Centro, Rua Centro Oeste",Centro,Rua Centro Oeste,,,,3,09:48:00,06:00 - 11:59
92,2015-10-23,1,"Centro, Avenida das Figueiras, 1398",Centro,Avenida das Figueiras,1398,-11.852512,-55.50699750000001,7,10:00:00,06:00 - 11:59
93,2015-10-29,1,"Jardim das Violetas, Avenida dos Jequitibás, 2645",Jardim das Violetas,Avenida dos Jequitibás,2645,-11.8373259,-55.51459420000003,7,10:23:00,06:00 - 11:59
94,2015-10-08,1,"Jardim das Primaveras, Rua dos Abricós, 548",Jardim das Primaveras,Rua dos Abricós,548,-11.8338423,-55.497528999999986,7,10:30:00,06:00 - 11:59
95,2015-10-08,1,"Jardim das Primaveras, Rua dos Abricós, 548",Jardim das Primaveras,Rua dos Abricós,548,-11.8338423,-55.497528999999986,8,10:30:00,06:00 - 11:59
96,2015-10-09,1,"Daury Riva, Rua Projetada Q, 10",Daury Riva,Rua Projetada Q,10,,,3,10:30:00,06:00 - 11:59
97,2015-10-18,1,"Jardim Imperial, Avenida das Palmeiras",Jardim Imperial,Avenida das Palmeiras,,-11.8441008,-55.51722059999997,6,10:30:00,06:00 - 11:59
98,2015-10-17,1,"Centro, Rua das Orquídeas, 2437",Centro,Rua das Orquídeas,2437,-11.8497085,-55.5017143,6,10:30:00,06:00 - 11:59
99,2015-10-20,1,"Jardim Maringá 2, Rua das Ninfeias, 268",Jardim Maringá 2,Rua das Ninfeias,268,-11.8624611,-55.52319349999999,3,10:30:00,06:00 - 11:59
100,2015-10-22,1,"Jardim Botânico, Rua dos Cedros, 503",Jardim Botânico,Rua dos Cedros,503,-11.8674631,-55.50535020000001,3,10:30:00,06:00 - 11:59
101,2015-10-29,1,"Vila Santana, Rua 11, 01",Vila Santana,Rua 11,01,-11.8883388,-55.51518680000004,3,10:32:00,06:00 - 11:59
102,2015-10-13,1,"Vila América, Rua Projetada 12",Vila América,Rua Projetada 12,,-11.8304708,-55.478335000000015,6,10:50:00,06:00 - 11:59
103,2015-10-04,1,"Jardim Imperial, Rua dos Jaborandís, 88",Jardim Imperial,Rua dos Jaborandís,88,-11.8475896,-55.51872040000001,6,11:00:00,06:00 - 11:59
104,2015-10-12,1,"Jardim Paraíso 2, Ivais",Jardim Paraíso 2,Ivais,,,,3,11:00:00,06:00 - 11:59
105,2015-10-14,1,"Jardim Boa Esperança, Rua 8",Jardim Boa Esperança,Rua 8,,-11.83487313,-55.52343081,6,11:00:00,06:00 - 11:59
106,2015-10-16,1,"Centro, Avenida das Sibipirunas",Centro,Avenida das Sibipirunas,,-11.8556195,-55.501794200000006,6,11:00:00,06:00 - 11:59
107,2015-10-17,1,"Jardim Jequitibás, Avenida dos Jequitibás",Jardim Jequitibás,Avenida dos Jequitibás,,-11.8400608,-55.503632900000014,6,11:00:00,06:00 - 11:59
108,2015-10-21,1,"Jardim Florença, Rua Turin",Jardim Florença,Rua Turin,,,,3,11:00:00,06:00 - 11:59
109,2015-10-26,1,"Jardim das Oliveiras, Rua das Oliveiras",Jardim das Oliveiras,Rua das Oliveiras,,-11.825712,-55.50697149999996,2,11:00:00,06:00 - 11:59
110,2015-10-26,1,"Jardim das Oliveiras, Rua das Oliveiras",Jardim das Oliveiras,Rua das Oliveiras,,-11.825712,-55.50697149999996,7,11:00:00,06:00 - 11:59
111,2015-10-10,1,"Centro, Avenida Perimetral",Centro,Avenida Perimetral,,-11.8249314,-55.49768849999998,3,11:20:00,06:00 - 11:59
112,2015-10-20,1,"Parque das Araras, Avenida das Sibipirunas",Parque das Araras,Avenida das Sibipirunas,,-11.82908,-55.494966799999986,6,11:30:00,06:00 - 11:59
113,2015-10-22,1,"Daury Riva, Projetada C",Daury Riva,Projetada C,,-11.855607,-55.50729899999999,3,11:30:00,06:00 - 11:59
114,2015-10-30,1,"Recanto dos Pássaros, Rua dos Azulões, 797",Recanto dos Pássaros,Rua dos Azulões,797,-11.8199776,-55.517266500000005,3,11:30:00,06:00 - 11:59
115,2015-10-17,1,"Jardim Jacarandás, Tilhas, 385",Jardim Jacarandás,Tilhas,385,-11.8630141,-55.4999765,3,11:40:00,06:00 - 11:59
116,2015-10-12,1,"Jardim Imperial, Rua dos Angicos, 1455",Jardim Imperial,Rua dos Angicos,1455,-11.8452805,-55.52027029999999,3,12:00:00,12:00 - 17:59
117,2015-10-30,1,"Menino Jesus 1, Rua Aírton Sena, 570",Menino Jesus 1,Rua Aírton Sena,570,,,7,12:00:00,12:00 - 17:59
118,2015-10-11,1,"Jardim Botânico, Avenida dos Flamboyants",Jardim Botânico,Avenida dos Flamboyants,,-11.8690044,-55.53561769999999,3,12:10:00,12:00 - 17:59
119,2015-10-17,1,"Centro, Avenida Governador Júlio Campos, 190",Centro,Avenida Governador Júlio Campos,190,-11.8552232,-55.50660149999999,3,12:20:00,12:00 - 17:59
120,2015-10-07,1,"Centro, Rua dos Lírios",Centro,Rua dos Lírios,,-11.8570973,-55.49922649999996,6,13:12:00,12:00 - 17:59
121,2015-10-29,1,"Jardim das Violetas, Rua das Violetas",Jardim das Violetas,Rua das Violetas,,-11.8340258,-55.50796159999999,7,13:20:00,12:00 - 17:59
122,2015-10-16,1,"Jardim Boa Esperança, Jeremias Garcia, 3116",Jardim Boa Esperança,Jeremias Garcia,3116,-11.8324098,-55.52778920000003,7,13:30:00,12:00 - 17:59
123,2015-10-05,1,"Jardim Novo Estado, Avenida André Maggi, 5755",Jardim Novo Estado,Avenida André Maggi,5755,-11.8333592,-55.51565979999998,6,13:55:00,12:00 - 17:59
124,2015-10-17,1,"Maria Vindilina, Rua Teles Pires, 1175",Maria Vindilina,Rua Teles Pires,1175,-11.8164688,-55.51898900000003,6,14:00:00,12:00 - 17:59
125,2015-10-17,1,"Jardim Jacarandás, Avenida dos Jatobás, 406",Jardim Jacarandás,Avenida dos Jatobás,406,-11.8793663,-55.5123873,3,14:00:00,12:00 - 17:59
126,2015-10-22,1,"Jardim das Palmeiras, Rua das Azaléias, 3288",Jardim das Palmeiras,Rua das Azaléias,3288,-11.8405913,-55.50510429999997,3,14:00:00,12:00 - 17:59
127,2015-10-24,1,"Jardim das Violetas, Rua das Violetas",Jardim das Violetas,Rua das Violetas,,-11.8340258,-55.50796159999999,7,14:00:00,12:00 - 17:59
128,2015-10-30,1,"Camping Club, Rua Matrinchã, 585",Camping Club,Rua Matrinchã,585,-11.8480193,-55.5081012,3,14:00:00,12:00 - 17:59
129,2015-10-31,1,"Jardim das Palmeiras, Rua das Araribas, 423",Jardim das Palmeiras,Rua das Araribas,423,-11.8429712,-55.508440500000006,3,14:00:00,12:00 - 17:59
130,2015-10-25,1,"Jardim Ibirapuera, Rua Interlagos, 1120",Jardim Ibirapuera,Rua Interlagos,1120,-11.8869333,-55.51322419999997,8,14:06:00,12:00 - 17:59
131,2015-10-17,1,"Jardim das Oliveiras, Rua das Azaléias",Jardim das Oliveiras,Rua das Azaléias,,-11.8273818,-55.5017206,6,14:15:00,12:00 - 17:59
132,2015-10-10,1,"Vila Mariana, Rua Projetada 1, 15",Vila Mariana,Rua Projetada 1,15,-11.8679349,-55.4920333,6,14:30:00,12:00 - 17:59
133,2015-10-10,1,"Jardim Jacarandás, Avenida das Sibipirunas, 1180",Jardim Jacarandás,Avenida das Sibipirunas,1180,-11.8764434,-55.50708040000001,3,14:30:00,12:00 - 17:59
134,2015-10-14,1,"Centro, Praça dos Três Poderes, 175",Centro,Praça dos Três Poderes,175,,,3,14:30:00,12:00 - 17:59
135,2015-10-21,1,"Centro, Rua das Primaveras, 2456",Centro,Rua das Primaveras,2456,-11.8655897,-55.50283839999997,3,14:30:00,12:00 - 17:59
136,2015-10-27,1,"Centro, Avenida Governador Júlio Campos",Centro,Avenida Governador Júlio Campos,,-11.8559949,-55.5040242,3,14:30:00,12:00 - 17:59
137,2015-10-27,1,"Centro, Avenida dos Jacarandás",Centro,Avenida dos Jacarandás,,-11.8880467,-55.505763900000034,3,14:30:00,12:00 - 17:59
138,2015-10-29,1,"São Cristóvão, Rua Colonizador Ênio Pipino",São Cristóvão,Rua Colonizador Ênio Pipino,,-11.8972599,-55.50487650000002,7,14:37:00,12:00 - 17:59
139,2015-10-29,1,"São Cristóvão, Rua Colonizador Ênio Pipino",São Cristóvão,Rua Colonizador Ênio Pipino,,-11.8972599,-55.50487650000002,8,14:37:00,12:00 - 17:59
140,2015-10-12,1,"Jardim Veneza, Maravilha",Jardim Veneza,Maravilha,,,,6,14:40:00,12:00 - 17:59
141,2015-10-03,1,"Jardim das Primaveras, Rua das Orquídeas",Jardim das Primaveras,Rua das Orquídeas,,-11.8399587,-55.49916710000002,8,15:00:00,12:00 - 17:59
142,2015-10-13,1,"Jardim das Primaveras, Rua das Primaveras, 2063",Jardim das Primaveras,Rua das Primaveras,2063,-11.8688384,-55.50373130000003,3,15:00:00,12:00 - 17:59
143,2015-10-15,1,"Centro, Avenida das Figueiras",Centro,Avenida das Figueiras,,-11.8530007,-55.505508899999995,3,15:00:00,12:00 - 17:59
144,2015-10-15,1,"Centro, Avenida das Figueiras",Centro,Avenida das Figueiras,,-11.8530007,-55.505508899999995,6,15:00:00,12:00 - 17:59
145,2015-10-23,1,"Parque das Araras, Rua dos Faveiros, 559",Parque das Araras,Rua dos Faveiros,559,-11.8313925,-55.4916753,7,15:00:00,12:00 - 17:59
146,2015-10-25,1,"Jardim Paraíso, Rua dos Coqueiros, 1623",Jardim Paraíso,Rua dos Coqueiros,1623,-11.8678777,-55.516028800000015,3,15:00:00,12:00 - 17:59
147,2015-10-16,1,"Jardim dos Ipês, Avenida André Maggi, 6211",Jardim dos Ipês,Avenida André Maggi,6211,-11.830019,-55.51377439999999,6,15:30:00,12:00 - 17:59
148,2015-10-27,1,"Jardim das Palmeiras, Rua dos Monjoleiros",Jardim das Palmeiras,Rua dos Monjoleiros,,-11.8409343,-55.5083305,6,15:30:00,12:00 - 17:59
149,2015-10-02,1,"Centro, Avenida das Palmeiras",Centro,Avenida das Palmeiras,,-11.84810107,-55.50217507,6,15:40:00,12:00 - 17:59
150,2015-10-21,1,"Jardim das Palmeiras, Rua dos Marfins, 93",Jardim das Palmeiras,Rua dos Marfins,93,-11.845755,-55.50602760000004,6,15:40:00,12:00 - 17:59
151,2015-10-31,1,"Setor Industrial Norte, Rua João Pedro Moreira de Carvalho, 4240",Setor Industrial Norte,Rua João Pedro Moreira de Carvalho,4240,-11.8416418,-55.48975619999999,3,15:40:00,12:00 - 17:59
152,2015-10-25,1,"Menino Jesus 1, Rua Estados Unidos, 816",Menino Jesus 1,Rua Estados Unidos,816,-11.9006396,-55.49962700000003,8,15:50:00,12:00 - 17:59
153,2015-10-01,1,"Zona Rural, MT 140",Zona Rural,MT 140,,-12.091252,-55.4076766,3,16:00:00,12:00 - 17:59
154,2015-10-01,1,"Residencial Adriano Leitão, Rua Projetada 14",Residencial Adriano Leitão,Rua Projetada 14,,-11.867999,-55.49193009999999,3,16:00:00,12:00 - 17:59
155,2015-10-11,1,"Jardim das Primaveras, Avenida dos Jequitibás",Jardim das Primaveras,Avenida dos Jequitibás,,-11.8417814,-55.49673339999998,6,16:00:00,12:00 - 17:59
156,2015-10-14,1,"Boa Vista, Estrada Sabrina",Boa Vista,Estrada Sabrina,,-15.821657,-54.39273130000004,2,16:00:00,12:00 - 17:59
157,2015-10-14,1,"Boa Vista, Estrada Sabrina",Boa Vista,Estrada Sabrina,,-15.821657,-54.39273130000004,7,16:00:00,12:00 - 17:59
158,2015-10-17,1,"Jardim Paraíso, Rua das Petúnias, 275",Jardim Paraíso,Rua das Petúnias,275,-11.864609,-55.51442609999998,3,16:00:00,12:00 - 17:59
159,2015-10-31,1,"Centro, Avenida Governador Júlio Campos",Centro,Avenida Governador Júlio Campos,,-11.8559949,-55.5040242,3,16:00:00,12:00 - 17:59
160,2015-10-21,1,"Jardim das Palmeiras, Rua dos Marfins, 93",Jardim das Palmeiras,Rua dos Marfins,93,-11.845755,-55.50602760000004,6,16:15:00,12:00 - 17:59
161,2015-10-31,1,"Jardim Paulista, Moca",Jardim Paulista,Moca,,-11.8905102,-55.516486499999985,6,16:20:00,12:00 - 17:59
162,2015-10-08,1,"Jardim das Primaveras, Avenida das Sibipirunas",Jardim das Primaveras,Avenida das Sibipirunas,,-11.84052,-55.497905100000025,5,16:30:00,12:00 - 17:59
163,2015-10-29,1,"Altos da Gloria, BR 163",Altos da Gloria,BR 163,,-11.97794389,-55.51890528,6,16:30:00,12:00 - 17:59
164,2015-10-22,1,"Jardim das Primaveras, Avenida dos Jacarandás, 5952",Jardim das Primaveras,Avenida dos Jacarandás,5952,-11.8356628,-55.492206399999986,8,16:40:00,12:00 - 17:59
165,2015-10-06,1,"Centro, Avenida das Embaúbas, 708B",Centro,Avenida das Embaúbas,708B,-11.8587711,-55.50212490000001,3,16:41:00,12:00 - 17:59
166,2015-10-08,1,"Maria Vindilina 2, Rua Rio Verde",Maria Vindilina 2,Rua Rio Verde,,-11.8179283,-55.51440100000002,7,16:45:00,12:00 - 17:59
167,2015-10-26,1,"Bom Jardim, Rua Central",Bom Jardim,Rua Central,,-11.9242368,-55.506491100000005,7,16:50:00,12:00 - 17:59
168,2015-10-26,1,"Bom Jardim, Rua Central",Bom Jardim,Rua Central,,-11.9242368,-55.506491100000005,7,16:50:00,12:00 - 17:59
169,2015-10-26,1,"Bom Jardim, Rua Central",Bom Jardim,Rua Central,,-11.9242368,-55.506491100000005,8,16:50:00,12:00 - 17:59
170,2015-10-01,1,"Centro, Rua das Bracatingas",Centro,Rua das Bracatingas,,-11.8247332,-55.504698700000006,7,17:00:00,12:00 - 17:59
171,2015-10-01,1,"Daury Riva, Rua Projetada A",Daury Riva,Rua Projetada A,,,,3,17:00:00,12:00 - 17:59
172,2015-10-05,1,"Jardim das Palmeiras, Rua das Paineiras, 759",Jardim das Palmeiras,Rua das Paineiras,759,-11.8414206,-55.511181299999976,3,17:00:00,12:00 - 17:59
173,2015-10-21,1,"Centro, Avenida dos Jacarandás",Centro,Avenida dos Jacarandás,,-11.8880467,-55.505763900000034,3,17:00:00,12:00 - 17:59
174,2015-10-28,1,"Residencial Norte, Rua das Azaléias",Residencial Norte,Rua das Azaléias,,-11.8465011,-55.50662820000002,6,17:00:00,12:00 - 17:59
175,2015-10-30,1,"Jardim Imperial, Rua das Bracatingas, 3871",Jardim Imperial,Rua das Bracatingas,3871,-11.8247333,-55.504698399999995,3,17:00:00,12:00 - 17:59
176,2015-10-08,1,"Jardim São Paulo, Rua 12",Jardim São Paulo,Rua 12,,-11.8304708,-55.478335000000015,7,17:05:00,12:00 - 17:59
177,2015-10-30,1,"Belo Ramo, Rua Centro Oeste, 10",Belo Ramo,Rua Centro Oeste,10,,,3,17:20:00,12:00 - 17:59
178,2015-10-03,1,"Centro, Rua das Pitangueiras, 970",Centro,Rua das Pitangueiras,970,-11.8544132,-55.50651019999998,3,17:30:00,12:00 - 17:59
179,2015-10-05,1,"Centro, Rua das Rosas, 925",Centro,Rua das Rosas,925,-11.8554664,-55.50469480000004,3,17:30:00,12:00 - 17:59
180,2015-10-23,1,"Jardim Jacarandás, Rua João Pedro Moreira de Carvalho",Jardim Jacarandás,Rua João Pedro Moreira de Carvalho,,-11.8982529,-55.50460659999999,6,17:30:00,12:00 - 17:59
181,2015-10-30,1,"Jardim Paraíso, Rua das Sálvias",Jardim Paraíso,Rua das Sálvias,,,,8,17:30:00,12:00 - 17:59
182,2015-10-19,1,"Setor Comercial, Avenida das Embaúbas, 694",Setor Comercial,Avenida das Embaúbas,694,-11.8589001,-55.50201900000002,3,17:34:00,12:00 - 17:59
183,2015-10-05,1,"Setor Comercial, Rua das Castanheiras, 1430",Setor Comercial,Rua das Castanheiras,1430,-11.8525321,-55.510195399999986,6,17:40:00,12:00 - 17:59
184,2015-10-07,1,"Vitória Régia, Avenida André Maggi, 4825",Vitória Régia,Avenida André Maggi,4825,-11.8377444,-55.518227300000035,5,17:40:00,12:00 - 17:59
185,2015-10-07,1,"Vitória Régia, Avenida André Maggi, 4825",Vitória Régia,Avenida André Maggi,4825,-11.8377444,-55.518227300000035,6,17:40:00,12:00 - 17:59
186,2015-10-13,1,"Jardim das Oliveiras, Avenida André Maggi",Jardim das Oliveiras,Avenida André Maggi,,-11.8251969,-55.51051189999998,6,17:40:00,12:00 - 17:59
187,2015-10-02,1,"Centro, Avenida Governador Júlio Campos",Centro,Avenida Governador Júlio Campos,,-11.8559949,-55.5040242,3,18:00:00,18:00 - 23:59
